AlGaN,xbarrier,lsg,lg,lgd,Recess,Vth,ss,ss_at,i_on,i_off
0.01,0.10,1.00,1.80,10.00, 10.00,1.2572153765206235,107.67493509094399,1.2934013999999998,0.007015208798235816,8.689901171641598e-12
0.01,0.10,1.00,1.80,10.00, 3.00,-0.30330377435671196,100.24853686220744,-0.2861875,0.022352765261217163,7.129891477764718e-12
0.01,0.10,1.00,1.80,10.00, 5.00,0.17455409678743736,103.89563130565064,0.0,0.022128356560794385,5.120678122484801e-12
0.01,0.10,1.00,1.80,10.00, 8.00,0.91907687736895,110.81129131550956,0.74896399,0.02075470029310339,1.0086422294736844e-11
0.01,0.10,1.00,1.80,4.00, 1.00,-0.7709310296812467,95.39832322570187,-0.89600425,0.042261555287891064,7.479375961462946e-12
0.01,0.10,1.00,1.80,4.00, 10.00,1.279275180847944,77.45438071712515,1.3434298,0.007767897364290324,1.0607066291712998e-11
0.01,0.10,1.00,1.80,4.00, 3.00,-0.3658298478736462,95.26518651039748,-0.57220534,0.041855580251268516,7.091544884919231e-12
0.01,0.10,1.00,1.80,4.00, 5.00,0.14893741084849493,105.36055579745394,0.11565455,0.04106116128082508,9.19357140658758e-12
0.01,0.10,1.00,1.80,4.00, 8.00,0.9210677061206969,113.02063725133912,0.81110852,0.03641341055777811,5.801556300343826e-12
0.01,0.10,1.00,1.80,7.00, 1.00,-0.7354118396462745,97.33619270535144,-0.7125,0.02934420076945516,1.9415773397631564e-12
0.01,0.10,1.00,1.80,7.00, 10.00,1.2525696263041852,104.31133987287818,1.1766426,0.007385877106274358,3.3103980167318812e-12
0.01,0.10,1.00,1.80,7.00, 3.00,-0.3291825865077624,96.65917183803813,-0.63777398,0.02914831883585,1.6431897140875698e-12
0.01,0.10,1.00,1.80,7.00, 5.00,0.16429438183346254,94.88429608517481,-0.10858181,0.028765717060187903,2.6174022885995806e-12
0.01,0.10,1.00,1.80,7.00, 8.00,0.9201996668125404,113.82410818508829,0.81231346,0.02645781669525449,6.254483155263156e-13
0.01,0.10,1.00,2.00,10.00, 1.00,-0.706056388641213,96.08268928285874,-0.7611875,0.02233386169473684,3.1352227098903643e-12
0.01,0.10,1.00,2.00,10.00, 10.00,1.2626190507027992,108.32301932362036,1.3147947,0.006533684573684211,-1.6407543513157862e-12
0.01,0.10,1.00,2.00,10.00, 3.00,-0.2981168213001123,99.36792473409609,-0.40337948,0.022207512186931427,3.660808237583699e-12
0.01,0.10,1.00,2.00,10.00, 5.00,0.1858800578433123,104.92337489790563,0.07956641099999999,0.021961455506696686,5.265635590789476e-12
0.01,0.10,1.00,2.00,10.00, 8.00,0.9281093210983891,114.90235080793319,1.0314298000000002,0.02046764550796063,4.366385442105265e-12
0.01,0.10,1.00,2.00,4.00, 1.00,-0.7715162033644245,95.4460301606675,-0.79106413,0.04180341714781635,9.52733395490918e-13
0.01,0.10,1.00,2.00,4.00, 10.00,1.2615670135311559,105.62684980314704,1.1059793,0.007186364257589445,1.2684055263157894e-11
0.01,0.10,1.00,2.00,4.00, 3.00,-0.36256752187600183,98.61891610649592,-0.48894568,0.04136001717224842,2.365834343454777e-12
0.01,0.10,1.00,2.00,4.00, 5.00,0.14867062280598337,104.51145988582118,0.0062116971,0.040497406583376847,9.217610755701902e-12
0.01,0.10,1.00,2.00,4.00, 8.00,0.9383309437831416,112.04244419960743,1.1502183000000001,0.03552629278477044,1.5733942631578946e-11
0.01,0.10,1.00,2.00,7.00, 1.00,-0.728193846167006,97.27268161317691,-0.7125,0.029119764385633684,2.106937226315789e-12
0.01,0.10,1.00,2.00,7.00, 10.00,1.2664434546787873,106.43307820088842,1.2807165,0.006869290307368421,1.7569897992078098e-12
0.01,0.10,1.00,2.00,7.00, 3.00,-0.32519730260053703,60.80046102564614,-0.64196446,0.028904735329349895,1.5018844136998695e-11
0.01,0.10,1.00,2.00,7.00, 5.00,0.1660687194944836,103.09897157347066,0.0,0.028486189807615143,9.30065166939588e-12
0.01,0.10,1.00,2.00,7.00, 8.00,0.9528142058068871,95.71215247545311,1.2824405,0.025991719688873136,5.797857605451121e-12
